,chan_1,chan_2,chan_3,chan_4,chan_5,chan_6,chan_7,chan_8,chan_9,chan_10,chan_11,chan_12,chan_13,chan_14,chan_15,chan_16,trig,timestamp
51,135787.295,91043.17,12552.65,-17981.353,23854.452,-9759.196,-19278.603,-12122.893,20516.51,17500.589,-45717.141,-40816.386,2272.681,-16770.067,9896.168,-4742.526,0.0,0.40799999999580905
52,135846.08,91060.985,12571.56,-17961.191,23883.197,-9727.725,-19874.031,-12083.599,20492.929,17423.52,-45674.94,-40775.751,2244.026,-16822.616,9878.979,-4722.834,0.0,0.41599999996833503
53,135832.825,91024.305,12545.833,-17992.26,23856.732,-9757.632,-19253.457,-12105.481,20541.812,17526.785,-45690.095,-40791.107,2298.899,-16742.015,9879.136,-4730.769,0.0,0.4239999999990687
54,135852.986,91046.724,12559.512,-17979.564,23874.234,-9741.337,-19886.571,-12093.702,20496.08,17414.602,-45670.939,-40785.809,2241.411,-16820.716,9872.698,-4730.389,0.0,0.43199999997159466
55,135862.843,91039.281,12548.18,-17996.686,23859.101,-9760.806,-19254.597,-12109.147,20534.548,17501.706,-45690.9,-40800.628,2289.668,-16753.549,9862.573,-4740.939,0.0,0.4400000000023283
56,135913.716,91062.862,12565.547,-17970.177,23885.052,-9730.407,-19868.354,-12091.154,20499.522,17423.542,-45675.633,-40788.603,2246.127,-16816.782,9856.695,-4735.463,0.0,0.4479999999748543
57,135905.513,91032.24,12542.324,-17996.395,23860.688,-9751.82,-19270.154,-12102.576,20526.702,17501.505,-45685.267,-40793.901,2287.343,-16756.298,9884.791,-4747.242,0.0,0.45600000000558794
58,135957.19,91063.98,12557.009,-17963.918,23884.113,-9724.104,-19831.116,-12090.349,20499.858,17443.704,-45674.65,-40783.149,2251.916,-16801.359,9871.693,-4723.415,0.0,0.4639999999781139
59,135951.178,91048.088,12548.292,-17987.902,23866.366,-9746.277,-19300.91,-12096.675,20524.221,17493.861,-45680.439,-40789.564,2281.331,-16760.724,9867.222,-4738.212,0.0,0.47200000000884756
60,135968.679,91070.641,12567.872,-17961.549,23894.507,-9715.476,-19764.642,-12094.864,20509.536,17457.986,-45679.59,-40789.743,2257.28,-16795.771,9864.495,-4733.362,0.0,0.47999999998137355
61,135917.337,91052.938,12558.194,-17979.81,23879.844,-9730.698,-19353.101,-12101.123,20526.21,17487.535,-45677.489,-40784.379,2274.044,-16769.441,9864.853,-4741.118,0.0,0.48799999995389953
62,135982.649,91077.19,12571.135,-17952.072,23901.234,-9708.234,-19698.011,-12096.25,20525.942,17491.827,-45679.59,-40782.233,2263.047,-16781.757,9856.605,-4733.854,0.0,0.4959999999846332
63,135981.241,91061.409,12564.407,-17973.775,23885.454,-9730.72,-19432.07,-12103.626,20529.34,17483.333,-45665.933,-40781.987,2269.015,-16782.897,9863.713,-4740.939,0.0,0.5039999999571592
64,136017.585,91074.306,12565.212,-17962.443,23893.277,-9716.974,-19633.079,-12110.712,20525.652,17487.938,-45696.376,-40807.759,2257.705,-16791.927,9848.223,-4749.925,0.0,0.5119999999878928
65,136000.128,91060.85,12554.908,-17980.838,23878.324,-9730.586,-19517.007,-12107.605,20515.839,17466.659,-45673.51,-40780.422,2251.916,-16799.124,9856.806,-4732.356,0.0,0.5199999999604188
66,135999.368,91086.533,12574.376,-17953.189,23895.423,-9711.721,-19554.625,-12100.363,20527.239,17511.05,-45698.209,-40794.392,2265.215,-16771.386,9860.047,-4747.488,0.0,0.5279999999911524
67,135979.14,91075.647,12572.588,-17962.667,23886.549,-9723.635,-19589.471,-12078.458,20519.93,17458.076,-45659.294,-40768.621,2254.285,-16797.045,9849.721,-4736.737,0.0,0.5359999999636784
68,135992.953,91071.825,12557.724,-17962.845,23866.79,-9738.722,-19461.686,-12077.72,20554.061,17531.837,-45695.102,-40789.967,2281.912,-16746.754,9842.099,-4742.504,0.0,0.5439999999944121
69,135992.752,91080.9,12572.923,-17956.028,23861.739,-9744.757,-19657.89,-12071.976,20520.98,17456.064,-45670.023,-40766.9,2248.764,-16803.505,9840.959,-4734.167,0.0,0.551999999966938
70,135937.99,91091.45,12569.079,-17959.627,23873.63,-9734.118,-19385.891,-12080.939,20546.528,17536.374,-45704.847,-40795.868,2278.693,-16753.08,9843.641,-4741.185,0.0,0.5599999999976717
71,135939.041,91075.938,12559.401,-17975.34,23866.992,-9744.154,-19731.852,-12083.018,20510.072,17442.564,-45667.318,-40773.672,2245.613,-16807.998,9847.039,-4737.609,0.0,0.5679999999701977
72,135967.718,91070.909,12549.096,-17980.347,23860.554,-9749.496,-19330.102,-12097.77,20536.559,17526.718,-45704.177,-40813.503,2275.586,-16758.712,9845.586,-4749.746,0.0,0.5760000000009313
73,135992.104,91068.562,12562.507,-17982.135,23868.646,-9749.049,-19805.657,-12084.448,20504.44,17422.984,-45672.281,-40791.241,2233.923,-16831.065,9837.204,-4745.097,0.0,0.5839999999734573
74,135981.799,91045.562,12545.185,-18005.492,23853.603,-9765.812,-19273.663,-12105.548,20541.812,17514.961,-45696.488,-40816.23,2284.438,-16765.149,9845.34,-4759.692,0.0,0.592000000004191
75,136017.696,91080.028,12571.426,-17972.702,23886.728,-9730.117,-19846.963,-12079.129,20497.488,17413.998,-45666.648,-40797.343,2234.37,-16839.089,9844.692,-4765.727,0.0,0.5999999999767169
76,135995.926,91063.086,12554.327,-17990.427,23870.948,-9744.802,-19238.839,-12088.248,20548.674,17533.938,-45676.84,-40798.282,2295.457,-16747.715,9838.813,-4759.223,0.0,0.6080000000074506
77,136016.311,91082.733,12571.403,-17973.373,23893.367,-9723.612,-19843.745,-12070.009,20510.363,17438.384,-45652.633,-40787.24,2246.887,-16818.548,9842.613,-4760.005,0.0,0.6159999999799766
